Item #,"PDC
Reference",Discipline / System,Sub-System,Description,"Date
Added",Show to Meta?,Pricing Status,Client Approval?,"Estimated Cost
($USD)",Qty,UoM,"NRC
Estimate
Total 200MW
($USD)",Base Build Mod vs. TFO Add,Paid By,Scope Spend,"Approved
(Sales/SE)","Approved
(D&C or Cost Est)","Approved
(Portfolio)","Pricing Accuracy
(SE ROM, D&C ROM, Vendor ROM, Quote)",DLR BIC,RFS Condition?,Column1,DLR Internal Notes / Status,Meta SME,DLR Owner,Pre-Sales Notes & Customer Clarifications
16,"04.01.E.b
04.03.F",Electrical,Lighting (Data Halls),Update illumination study for fully coordinated design with Meta IT equipment row and aisle locations,46062,Yes,Closed,,0,20,per Data Hall,0,BB Mod,Meta,Suites,Yes,Yes,,,Design,Yes,,"Assume Part of Design, Just Show Lighting Study to Client",,Alex Arteaga,
17,04.01.F,Electrical,Nameplates,"Furnish and install engraved phenolic nameplates for all Meta electrical equipment within the data hall (includes MTS's, over rack power busway end feed boxes",46085,Yes,Closed,,55500,20,per Data Hall,1110000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
18,04.02.B,Mechanical ,CFD studies,Perform CFD studies confirming data hall thermal performance based upon Meta provided IT equipment layout(s),46085,Yes,Closed,,75000,1,lot,75000,TFO Add,Meta,Suites,Yes,Yes,,,Design,Yes,,this assumes two reports - network and server suite with some continegency,,Alex Arteaga,
19,"04.02.C.1
04.02.D.2
04.02.D.3
04.05.C.5.iv",Mechanical ,FWUs and CDUs (Server data halls),"Adder per data hall to go from 100% air cooling (original CLT13 BoD) to 80% liquid / 20% air cooling (80-20 liquid/air ratio used in our base rate calculations)
¡ Furnish and install 5 x 2MW CDUs per suite (increased from 0 x CDUs in original CTL13 BoD)
¡ Furnish and install 7 x FWUs per suite (reduced from 28 x FWUs in original CTL13 BoD)
¡ Applies to Server data halls (Megapod) only",45986,No,Closed,N/A,435000,18,per Data Hall,7830000,N/A,N/A,Suites,Yes,Yes,,D&C ROM,No Action,Yes,,"80%/20% Liquid/Air cooling requirement. CDUs are required to be installed in the galleries
2MW CDUs shall be included - quantity N=4, N+1=5, provide 5 CDUs total per suite
FWUs for 20% Air Cooled load - quantity N=5, N+2=7, provide 7 FWUs total per suite
Standard commissioning only, no customer specific Cx requirements included.",,Alex Arteaga,
20,"04.02.C.1
04.02.D.2
04.02.D.3
04.05.C.5.iv",Mechanical ,FWUs and CDUs (Server data halls),"Adder per data hall to go from 80% liquid / 20% air cooling to 80% liquid /85% air cooling (80-85 liquid/air ratio per Meta's direction).
¡ No additional CDUs required (quantity remains at 5 x 2MW CDUs per suite)
¡ Furnish and install 23 x FWUs per suite (increased from 7 x FWUs in 80-20 liquid-air underwriting)
¡ Applies to Server data halls (Megapod) only",45986,No,Closed,N/A,2028000,18,per Data Hall,36504000,N/A,N/A,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"80%/85% Liquid/Air cooling requirement. The following information is supplemental to the 80/20 information above
No additional CDUs required
FWUs for 85% Air Cooled load - quantity N=21, N+2=23, provide 23 FWUs total per suite.
Standard commissioning only, no customer specific Cx requirements included.",,Alex Arteaga,"The reduction of air cooling percentage from 100% to 85% will save on the total quantity of CRAHs in the data hall. The exact amount will need to be validated by interior CFD but for this exercise we have assumed the 26+2 redundancy can reduce to 24+2.  We have included standard commissioning only, no customer specific requirements."
21,"04.02.C.1
04.02.C.2
04.02.D.2",Mechanical ,FWUs (all data halls),Furnish and install three (3) additional FWUs per data to achieve 158 cfm/kW air flow requirement.  The quantity of additional FWUs required is applicable to both Network room data halls (100% air cooled) and Server (Megapod) data halls (80% liquid / 85% aid cooled).,45986,Yes,Closed,,482850,20,per Data Hall,9657000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,Add FWUs to achieve 158 cfm/kW based on any liquid-to-air cooling ratios,,Alex Arteaga,D&C: +15% requirement waived per conversation with KOB
22,"04.02.D.1
04.02.C.1
04.02.D.4",Mechanical ,TCS piping,"Engineer, furnish, and install (EF&I) technology water loop (TWL) system piping, taps, valves, fitting, flanges, disconnects, hoses, supports, associated appurtances, and  hardware.",45986,Yes,Closed,,9779580,20,per Data Hall,195591600,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
23,"04.02.D.1
04.02.C.2
04.02.D.4",Mechanical ,TCS system prep (Network data halls),"Engineer, furnish, and install Nitrogen generation system for TCS system in Network Room data halls which will not have CDUs deployed Day One (Qty = 2 data halls, +1 system per data hall).",46085,Yes,Closed,,225000,2,per Data Hall,450000,TFO Add,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,No,,"Need means & method to prevent unused TCS loop corrosion in 100% air cooled Network Room data halls (Qty = 2 data halls).
Includes system components, connection to loop, power and monitoring",,Alex Arteaga,
24,04.02.D.3.ii,Electrical,Mechanical UPS,Furnish and install 300kVA UPS system for mechanical loads.  Ride-through time to be 90 seconds at full rated load.  Mechanical UPS system to power CDUs and facility chilled water system pumps.  (Qty = 6 mUPS systems per data hall),45947,No,Closed,N/A,2510000,18,per Data Hall,45180000,N/A,N/A,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"***Paid for in the lease base rent***
Per suite, mechanical UPS and associated batteries to be added to each capacity block. New mechanical panelboards to be fed from each UPS, with one in each of the two galleries.  Mechanical Panelboards to serve power to CDU’s as well as the chilled water pump internal to air cooled chillers on the roof.
Two (2) mechanical UPS systems per suite will also be used to provide dual UPS-backed power feeds to Meta power meters
cost per suite - assuming 20 suties",,Alex Arteaga,"SEPR From Q4, Confirm if the 300kVA is in addition to or carved out of the 10MW suite

Need to confirm battery run time - is it 90 seconds or 5 minutes?"
25,04.02.D.3.ii,Electrical,Mechanical UPS,Furnish and install 300kVA UPS system for mechanical loads.  Ride-through time to be 90 seconds at full rated load.  Mechanical UPS system to power CDUs and facility chilled water system pumps.  (Qty = 6 mUPS systems per data hall),45947,Yes,Closed,,2510000,2,per Data Hall,5020000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"***Paid for in the lease base rent***
Per suite, mechanical UPS and associated batteries to be added to each capacity block. New mechanical panelboards to be fed from each UPS, with one in each of the two galleries.  Mechanical Panelboards to serve power to CDU’s as well as the chilled water pump internal to air cooled chillers on the roof.
Two (2) mechanical UPS systems per suite will also be used to provide dual UPS-backed power feeds to Meta power meters
cost per suite - assuming 20 suties",,Alex Arteaga,"SEPR From Q4, Confirm if the 300kVA is in addition to or carved out of the 10MW suite

Need to confirm battery run time - is it 90 seconds or 5 minutes?"
26,04.02.D.3.ii,Mechanical ,Thermal Energy Storage,"Furnish and install thermal energy storage (TES) tanks, 1200 gallon capacity, one (1) per each air-cooled chiller (ACC) unit.  (Qty = 12 TES tanks per data hall)",45947,No,Closed,N/A,2256000,18,per Data Hall,40608000,N/A,N/A,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"***Paid for in the lease base rent***
TES tanks to be located on the roof, adjacent to air-cooled chillers.
Base design includes roof dunnage capacity and layout for (12) 1,200-gallon TES tanks per suite; one tank per chiller.
cost per suite - assuming 19 suites",,Alex Arteaga,"SEPR From Q4, How many minutes of ridethrough is this?"
27,04.02.D.3.ii,Mechanical ,Thermal Energy Storage,"Furnish and install thermal energy storage (TES) tanks, 1200 gallon capacity, one (1) per each air-cooled chiller (ACC) unit.  (Qty = 12 TES tanks per data hall)",45947,Yes,Closed,,2256000,2,per Data Hall,4512000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Procurement,Yes,,"***Paid for in the lease base rent***
TES tanks to be located on the roof, adjacent to air-cooled chillers.
Base design includes roof dunnage capacity and layout for (12) 1,200-gallon TES tanks per suite; one tank per chiller.
cost per suite - assuming 19 suites",,Alex Arteaga,"SEPR From Q4, How many minutes of ridethrough is this?"
28,04.03.A.1,Architectural,Loading Dock,"Soft costs - design fees to increase loading dock area to ±8,000 SF minimum to conform to Meta Global Design & Space Standards (GDSS) for ""Shipping & Receiving"" v1.2.",46084,Yes,Closed,,100000,1,Lump Soft Cost,100000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,may not need if intended to be covered by storage space number,,Alex Arteaga,"Preliminary sketch shared with Meta 3/4, waiting on feedback from Natalya. Once Meta approved, Alex will have architect complete a drawing showing the change and we can price. Not expected to add significant costs."
29,04.03.A.1,Architectural,Loading Dock,"Construction costs - build changes to increase loading dock area to ±8,000 SF minimum",46084,Yes,Closed,,1200000,1,per SF,1200000,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
30,04.03.A.1,Architectural,ERAD Room,"Soft costs - design fees to create ERAD room, ±550 SF, per Meta Global Design & Space Standards (GDSS) for ""ERAD"" v3.3 dated 2025-01-10",46087,Yes,Closed,,20000,1,Lump Soft Cost,20000,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
31,04.03.A.1,Architectural,ERAD Room,"Construction costs - build changes required to create ERAD room, ±550 SF, per Meta Global Design & Space Standards (GDSS) for ""ERAD"" v3.3 dated 2025-01-10",46087,Yes,Closed,,137500,1,per SF,137500,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
32,04.03.A.1,Architectural,Technical Fluid Work Room,"Soft costs - design fees to create Technical Fluid Work Room, ±900 SF, per Meta Global Design & Space Standards (GDSS) and Data Center Infrastructure Standard DCIS-3433.",46087,Yes,Closed,,10000,1,Lump Soft Cost,10000,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
33,04.03.A.1,Architectural,Technical Fluid Work Room,"Construction costs - build changes required to create Technical Fluid Work Room, ±900 SF, per Meta Global Design & Space Standards (GDSS) and Data Center Infrastructure Standard DCIS-3433.",46087,Yes,Closed,,247500,1,Lot,247500,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
34,"04.03.A.1
04.01.D.a
04.01.E.a
04.01.E.b
04.02.A",Architectural,Storage Space (Design),Storage space design (allowance),46062,Yes,Closed,,69375,1,Lot,69375,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,see LSP supporting doc,,Alex Arteaga,What is included?
35,"04.03.A.1
04.01.D.a
04.01.E.a
04.01.E.b
04.02.A",Architectural,Storage Space (Build),Storage space build-out (starting from warm shell conditions),46062,Yes,Closed,,75,18500,"per
SF",1387500,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,,,Alex Arteaga,What is included?
36,"04.03.A.1.i.a
04.01.D.a
04.01.E.a
04.01.E.b
04.02.A
04.03.B",Architectural,Office Space (Design),Office space design - 35 people (allowance),46062,Yes,Closed,,61875,1,Lot,61875,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,,,Alex Arteaga,"What is included?
Would need to include rough-in for A/V systems (e.g., 120VAC and LV conduit, blocking for wall mounted items).  A/V equipment and LV wiring design, procurement, and installation by Meta / others. "
37,"04.03.A.1.i.b
04.01.D.a
04.01.E.a
04.01.E.b
04.02.A
04.03.B",Architectural,Office Space (Build),Office space build-out - 35 people (starting from warm shell conditions),46062,Yes,Closed,,225,5500,"per
SF",1237500,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,see LSP supporting doc,,Alex Arteaga,"What is included?
Would need to include rough-in for A/V systems (e.g., 120VAC and LV conduit, blocking for wall mounted items).  A/V equipment and LV wiring design, procurement, and installation by Meta / others. "
38,04.03.A.1.i.c,Architectural,Kitchennette,"Design and build kitchennette in Tenant office space per Meta Global Design & Space Standards (GDSS) for Microkitchen, v2.2 dated 2024-06-28",46085,Yes,Closed,,150000,1,Lot,150000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,represents Typical Breakroom Applicaiton,,Alex Arteaga,
39,04.03.A.2.ii.a,Architectural,Corridors and Pathways,"Convert all wall-hung hallway items (fire extinguishers, AEDs, etc.) to flush-mount enclosures to ensure 8'-0"" clear width along corridors designated as ""IT equipment Path-of-Travel"".",46084,Yes,Closed,,222500,1,Lot,222500,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,"Shift Data hall wall along UPS corridor up to 9"" and recess fire extinguishers to minium visibility protusion of 4""
$3500/FE  ~50 Fes + Wall rating detailing (soft costs only)",,Alex Arteaga,Can we assume this is small enough not to bid?
40,"04.03.A.2.ii.c
04.03.A.2.ii.d
04.03.A.2.ii.e",Architectural,Door Swings,"Add 'door swing safety marking' to floor area for all doors that swing out into the ""IT equipment Path-of-Travel"" corridor; add safety/warning signs to all doors that swing out into the ""IT equipment Path-of-Travel"" corridor.",46085,Yes,Closed,,650,275,per each door,178750,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,"Add caution tape or paint door swing arc on floor.  Add sign/placard to public side of door stating ""Caution - Door Opens Outward"".  Add sign/placard to private side of door stating ""Open Door Slowly"".",,Alex Arteaga,
41,04.03.A.2.iv.f,Architectural,Freight Elevators,Furnish and install wall mirrors around freight elevators as a safety measure.  Ensure coverage of any blind corners and high-traffic areas.,46085,Yes,Closed,,400,20,ea,8000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,,,Alex Arteaga,
42,04.03.C,Architectural,Room numbering,Furnish and install Meta specified room numbering placards for all spaces,46062,Yes,Closed,,129000,1,Lot,129000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,,,Alex Arteaga,
43,04.03.D,Architectural,Room signage,"Furnish and install Meta signage (placards) for all Meta occupied (leased) spaces plus building electrical rooms, UPS rooms, FWU/PDU galleries, house electrical rooms, and water room",46085,Yes,Closed,,277500,1,Lot,277500,TFO Add,Meta,PBB,Yes,Yes,,,Design,No,,,,Alex Arteaga,
44,04.03.E.2,Architectural,Doors,Convert doors with vision panels to solid doors only for locations that look in to or out of Meta occupied spaces.,46085,Yes,Closed,,0,1,Lot,0,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,"Will comply, I believe this could be no cost",,Alex Arteaga,
45,04.03.E.3.i,Architectural,Doors,"Equip doors along ""IT equipment Path-of-Travel"" with automatic electric openers",46062,Yes,Closed,,12000,32,ea,384000,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
46,04.03.E.3.ii,Architectural,Doors,"Upgrade existing 6'-0"" wide x 10'-0"" high doors along ""IT equipment Path-of-Travel"" to 8'-0"" wide x 10'-0"" high doors.",46084,Yes,Closed,,10000,30,ea,300000,BB Mod,Meta,PBB,Yes,Yes,,,Design,Yes,,,,Alex Arteaga,
47,04.03.E.3.iii.e,Architectural,Doors,Equip all doors with Medeco high-security lock cylinders and cores,46062,Yes,Closed,,400,300,ea,120000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,"We have submitted the BEST security key standard that we use for their approval, but if not approved we will revert to Medeco. Who/Where did this come from?"
48,04.03.E.3.iii.l,Architectural,Doors,"Replace existing private side door hardware (ADA lever handle) with rim exit device (panic bar) for doors along ""IT equipment Path-of-Travel""",46062,Yes,Closed,,2250,32,ea,72000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,
49,04.03.E.3.iii.m,Architectural,Doors,Equip select doors with REX (Request to Exit) buttons,46062,Yes,Closed,,3000,50,ea,150000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,"Assumed 50x doors, may be more - waiting on confirmation from Meta on ""all meta spaces vs whole buiilding"""
50,04.03.G.1,Architectural,Partitions,"Upgrade data halls and galleries to support deployment of battery back-up units (BBUs):
¡ 600kWh maximum Li-Ion batteries per data hall 
¡ Maximum of 1kWh Li-Ion battery per rack 
¡ Add sheet rock and fire/smoke barriers to increase perimeter walls to 2-hour rating
¡ Increase sprinkler density to accommodate additional fire load requirements",45947,Yes,Closed,,2100000,20,per Data Hall,42000000,BB Mod,Meta,Suites,No,No,No,ROM,Design,No,,"Customer plans to install more than 600kWh of lithium ion batteries per data hall. Our understanding is that all of the racks will have the same number of BBUs so that means less than 1kWh per rack.
Max power capacity of 20 kWh per rack
No more than 2 shelves of BBUs per rack 
Server row spacing minimum 4 ft
Recommendations are intended to reduce fire spread between BBUs along an entire rack row.
We are still doing a local AHJ review and are studying the sprinkler system implications.

D&C: Cost relects room rating increase and splinkler density enhancements only
cost per suite - assuming 20 suites",,Alex Arteaga,see SEPR from Q4
51,04.03.G.2,Architectural,Ceiling Height,Soft costs for recoordination of ceiling and overhead services to increase data hall ceiling clear height from 14' A.F.F. to 16' A.F.F.,45986,Yes,Closed,,16000,8,per Data Hall,128000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,"KOB: If no cost, should we carry cost for additional CFD study to validate airflow requirements?

D&C: yes to CFD.Can we have STS gallery to mech gallery low point?
4 suites at 90% design
need to formalize this direction ASAP to avoid incurring BIM coordination/design costs.",,Alex Arteaga,What is the drop dead date to make this decision? Confirm if we made this change already
52,04.03.G.2.i,Architectural,Ceiling grid,Increase data hall structural ceiling grid hanging load capacity to 45 psf.,46062,Yes,Closed,,500000,20,per Data Hall,10000000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,D&C allowance for 50% increased ceiling cost. Excludes impacts to primary strucutre systems. Need more information from Meta; cost per suite - assuming 20 suites,,Alex Arteaga,"Kerry reports that this is not a Meta requirement. Where did this come from? Where is the pricing from? What is the PSF value?

Alex: Base design has an allowance of 30 psf for tenant use for IT cabling, cable trays, busways, containment and overhead power distrobution. Enough for meta?

TCS could be additional 20psf - need to confirm from meta no issue to hang direct from deck not slotted channel"
53,"04.04.I
04.04.J
04.04.K
04.04.L",HAC Design,Hot aisle containment,"Furnish and install hot aisle containment pods
¡ Pods are ±90'-0"" long by 7'-0"" wide
¡ Equipped with automatically closing, dual-sliding door assemblies on each end
¡ Can accommodate racks up to 8'-0"" high
¡ Adjustable top blanking panels to accommodate racks of different heights
¡ Add bracing to meet seismic design requirement
¡ Constructed of FM-approved fire-resistant materials",46062,Yes,Closed,,2565654,20,per data hall,51313080,TFO Add,Meta,Suites,,,,,Design,No,,"Estimate based on (10) hot aisle containment pods per data hall.  HAC is 7'-0"" wide x 90'-0"" long x 16'-0"" high (extends to acoustic drop ceiling).  Includes full-height blanking panels for gaps.",,Cost Estimation,
54,04.04.L,HAC Design,Hot aisle containment,Base Build reconfigurations required by AHJ due to HAC installation ,46086,Yes,Closed,,600000,20,per Pod,12000000,BB Mod,Meta,Suites,,,,,Design,No,,"Costs associated with unknown AHJ plan review/inspector conflicts with HAC installation. ""The PWC Factor""",,Alex Arteaga,
